TRICODE,IATA CODE,CALLSIGN,COMMON NAME,COMPANY/CORPORATE NAME,COUNTRY
MMO,MT,MALIT,MALTA MEDAIR,MALTA AIR TRAVEL LTD,MALTA
MWS,-,MALTA WINGS,MALTA WINGS,MALTA WINGS CO. LTD,MALTA
MSU,-,MALUTI SKY,MALUTI SKY,MGC AVIATION TA MALUTI SKY,LESOTHO
MLB,-,MANAF,MANAF INTERNATIONAL AIRWAYS,MANAF INTERNATIONAL AIRWAYS,BURUNDI
BAM,-,MANAS AIRWAYS,MANAS AIRWAYS,MANAS AIRWAYS,KYRGYSTAN
MNM,-,MANASIK,MANASIK AVIATION,MANASIK AVIATION COMPANY,SAUDI ARABIA
MJC,-,AIR MANDA,MANDARIN AIR,"MANDARIN AIR CO., LTD",CHINA
MDA,AE,MANDARIN,MANDARIN AIRLINES,MANDARIN AIRLINES,TAIPEI
MHN,-,MANHATTAN,MANHATTAN AIR,MANHATTAN AIR LIMITED,UNITED KINGDOM
MYP,7Y,MANN ROYAL,MANN YADANARPON AIRLINES,MANN YADANARPON AIRLINES CO. LTD,MYANMAR
MAN,-,MANNION,MANNION AIR CHARTER,"MANNION AIR CHARTER, INC. (YPSILANTI, MI)",UNITED STATES OF AMERICA
...,-,MANTA AIR,MANTA AIR,MANTA AIR,ECUADOR
MAV,-,SEA WING,MANTA AVIATION,MANTA AVIATION PVT. LTD.,MALDIVES
MNX,-,MANX,MANX AIRLINES,MANX AIRLINES LTD.,UNITED KINGDOM
PAM,7M,MAP AIR,MAP LINHAS AEREAS,MAP LINHAS AEREAS,BRAZIL
MBU,DI,MARABU,MARABU AIRLINES,MARABU AIRLINES OU,ESTONIA
MTO,-,MARATHON,MARATHON AIRLINES,MARATHON AIRLINES,GREECE
MCP,-,MARCOPOLO,MARCOPOLO AIRWAYS,MARCOPOLO AIRWAYS,AFGHANISTAN
MGI,-,MARGHI,MARGHI AIR,MARGHI AIR LIMITED,NIGERIA
MRH,-,MARHAM,MARHAM FTU,MARHAM FTU,UNITED KINGDOM
MMI,-,ITALIAN NAVY,MARINA MILITARE ITALIANA,MARINA MILITARE ITALIANA,ITALY
SRG,-,BRITISH RESCUE,MARITIME AND COASTGUARD AGENCY,MARITIME AND COASTGUARD AGENCY,UNITED KINGDOM
MHF,-,AIR MARITIME,MARITIME HELICOTPERS,"MARITIME HELICOTPERS (HOMER, AK)",UNITED STATES OF AMERICA
RES,-,RESCUE,MARITIME SAFETY AUTHORITY,AUSTRALIAN MARITIME SAFETY AUTHORITY,AUSTRALIA
MRK,-,MARKAIR,MARKAIR,"MARKAIR INC. (ANCHORAGE, AK)",UNITED STATES OF AMERICA
MRZ,-,MARS,MARS,MEDICAL AIR RESCUE SERVICES (MARS),ZIMBABWE
MRS,-,MARS CARGO,MARS AVIA,MARS AVIA CJSC,ARMENIA
MCE,-,MARSHALL,MARSHALL AEROSPACE,MARSHALL AEROSPACE,UNITED KINGDOM
MSL,-,MARSLANDAIR,MARSLAND AVIATION,MARSLAND AVIATION,SUDAN
XMA,-,-,MARTIN AVIATION SERVICES,"MARTIN AVIATION SERVICES (MIAMI, FL)",UNITED STATES OF AMERICA
MRC,-,MARTRANS,MARTIN COMPANIES,"MARTIN COMPANIES (KILGORE, TX)",UNITED STATES OF AMERICA
MPH,MP,MARTINAIR,MARTINAIR,MARTINAIR HOLLAND N.V.,NETHERLANDS
MRA,-,MARTEX,MARTINAIRE,"MARTINAIRE (ADDISON, TX)",UNITED STATES OF AMERICA
MBE,-,MARTIN,MARTIN-BAKER,MARTIN-BAKER LTD.,UNITED KINGDOM
HGE,-,HOAGIE,MARTIN'S FAMOUS PASTRY SHOPPE,"MARTIN'S FAMOUS PASTRY SHOPPE, INC. (CHAMBERSBURG, PA)",UNITED STATES OF AMERICA
MFA,-,SEAHORSE,MARTYN FIDDLER ASSOCIATES,MARTYN FIDDLER ASSOCIATES,UNITED KINGDOM
TRP,-,TROOPER,MARYLAND STATE POLICE,"MARYLAND STATE POLICE (PIKESVILLE, MD)",UNITED STATES OF AMERICA
MAA,M7,MAS AIR,MAS AIR,"AEROTRANSPORTES MAS DE CARGA, S.A. DE C.V.",MEXICO
MTH,-,RESEARCH,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"MASSACHUSETTS INSTITUTE OF TECHNOLOGY (LEXINGTON, MA)",UNITED STATES OF AMERICA
MSY,-,MASSEY,MASSEY UNIVERSITY,MASSEY UNIVERSITY SCHOOL OF AVIATION,NEW ZEALAND
MIH,-,MASSYLINE,MASSY AIRLINES,MASSY AIRLINES,NIGER
MPL,-,+,"MASTER PLANNER, INC.","MASTER PLANNER, INC.",UNITED STATES OF AMERICA
MST,-,MASTER,MASTER TOP,MASTER TOP LINHAS AEREAS LTDA.,BRAZIL
MWG,-,MASWINGS,MASWINGS,MASWINGS,MALAYSIA
TKH,-,TRACKHOUSE,MATER LOGISTICS,"MATER LOGISTICS, LLC",UNITED STATES OF AMERICA
...,-,MATROX,MATROX AIR,MATROX AIR,UNITED KINGDOM
MIA,-,MAURIA,MAURIA,"MAURIA, SOCIETE MAURITANIENNE D'AVIATION",MAURITANIA
MAI,L6,MAURITANIA AIRLINES,MAURITANIA AIRLINES,MAURITANIAN AIRLINES INTERNATIONAL,MAURITANIA
MTW,-,MAURITANIA AIRWAYS,MAURITANIA AIRWAYS,MAURITANIA AIRWAYS,MAURITANIA
MNV,-,NAVALE,MAURITANIENNE AERIENNE ET NAVALE,MAURITANIENNE AERIENNE ET NAVALE,MAURITANIA
MRF,-,MAUR-FRET,MAURITANIENNE AIR FRET,MAURITANIENNE AIR FRET,MAURITANIA
MWY,-,MAURITANIENNE,MAURITANIENNE AIR WAYS,MAURITANIENNE AIR WAYS,MAURITANIA
MDE,-,MAURI-TRANS,MAURITANIENNE DE TRANSPORT AERIEN,MAURITANIENNE DE TRANSPORT AERIEN,MAURITANIA
MVR,-,MAV-AIR,MAVERICK AIRWAYS CORPORATION,"MAVERICK AIRWAYS CORPORATION (DENVER, CO)",UNITED STATES OF AMERICA
MGH,-,MAVI,MAVI GÃ–K,MAVI GOK HAVACILIK A.S,TURKEY
MGH,-,MAVI,MAVI GÖK,MAVI GOK HAVACILIK A.S,TURKEY
MWN,-,MAX NIGER,MAX AIR,MAX AIR SA NIGER,NIGER
NGL,-,MAXAIR NIGERIA,MAX AIR LIMITED,MAX AIR LIMITED,NIGERIA
NTW,-,NORTHWOODS,MAXAIR,"MAXAIR, LLC",UNITED STATES OF AMERICA
MAX,-,MAX AVIATION,MAX-AVIATION,MAX-AVIATION,CANADA
MXF,-,MAXFLIGHT,MAXIMUM FLIGHT ADVANTAGES,"MAXIMUM FLIGHT ADVANTAGES, LLC (MIAMISBURG, OH)",UNITED STATES OF AMERICA
MXM,-,MAXLINES,MAXIMUS AIRLINES,MAXIMUS AIRLINES,UKRAINE
MXP,-,BEECHNUT,MAY AIR XPRESS,"MAY AIR XPRESS, INC. (EL DORADO, AR)",UNITED STATES OF AMERICA
MYD,-,MYLAND,MAYA ISLAND AIR,MAYA ISLAND AIR,BELIZE
MYI,-,MAYAIR,MAYAIR,"MAYAIR, S.A. DE C.V.",MEXICO
MAO,-,MAYO,MAYO CLINIC,"MAYO CLINIC (ROCHESTER, MN)",UNITED STATES OF AMERICA
MBO,-,AEROBEL,MB AERO,MB AERO,BELARUS
MBS,-,MBACHI AIR,MBACHI AIR/GROUND SERVICES,MBACHI AIR/GROUND SERVICES LIMITED,MALAWI
PLG,-,PILGRIM,MBK-S,"MBK-S, OPEN JOINT STOCK COMPANY",RUSSIAN FEDERATION
MCC,-,DISCOVERY,MCC AVIATION,MCC AVIATION (PTY) LTD,SOUTH AFRICA
MKL,-,MCCALL,MCCALL AVIATION,"MCCALL AVIATION, INC. (MCCALL, ID)",UNITED STATES OF AMERICA
MMH,-,NIGHT RIDER,MCMAHON HELICOPTER SERVICES,"MCMAHON HELICOPTER SERVICES, INC.",UNITED STATES OF AMERICA
MDS,-,MID-SOUTH,MCNEELY CHARTER SERVICES,"MCNEELY CHARTER SERVICES, INC. (WEST MEMPHIS, AR)",UNITED STATES OF AMERICA
MCS,-,CARMEX,MCS AEROCARGA DE MEXICO,MCS AEROCARGA DE MEXICO S.A. DE C.V.,MEXICO
MTM,-,METACHEM,MD AIR,MD AIR LTD,UNITED KINGDOM
MDZ,-,-,MDL AVIATION,MDL AVIATION INTERNATIONAL SERVICES,PAKISTAN
MDD,-,+,MDLR AIRLINES,MDLR AIRLINES,INDIA
MED,-,+,MED AIRWAYS,MED AIRWAYS,LEBANON
MTS,-,MEDSERVICE,MED JETS,"MED JETS, S.A. DE C.V.",MEXICO
MDX,-,MEDAIR,MEDAIR CHARTER,MEDAIR CHARTER (PTY) LTD,SOUTH AFRICA
MDM,-,MEDAVIA,MEDAVIA COMPANY,MEDAVIA COMPANY LTD,MALTA
MCL,-,MEDIC,MEDICAL AVIATION SERVICES,MEDICAL AVIATION SERVICES LTD,UNITED KINGDOM
MFY,-,MEDIFLY MEX,MEDIFLY,"MEDIFLY, S.A. DE C.V.",MEXICO
NDG,-,SANDOG,MEDIMPACT,MEDIMPACT HOLDINGS INC.,UNITED STATES OF AMERICA
MCA,-,COASTAL CLIPPER,MEDITERRANEAN COASTAL AIRLINES,MEDITERRANEAN COASTAL AIRLINES LTD.,MALTA
MNS,-,MEDSKY,MEDSKY AIRWAYS,MEDSKY AIRWAYS,LIBYA
MEK,-,MED-TRANS,MED-TRANS,"MED-TRANS OF FLORIDA, INC. (TAMPA, FL)",UNITED STATES OF AMERICA
MEV,-,MED-VIEW,MED-VIEW AIRLINES,MED-VIEW AIRLINES (NIGERIA) LIMITED,NIGERIA
MME,-,MAJESTIC AIR,MEGA,MULTIMEDIA ENTERTAINMENT GROUP AIR (PTY) LTD T/A MEGA,SOUTH AFRICA
MEL,-,MEGA AIR,MEGA LINHAS AEREAS,MEGA LINHAS AEREAS,BRAZIL
ARM,-,SUNSKY,MEGAVIATION,MEGAVIATION,MOLDOVA
MGV,-,-,MEGIDO AVIATION,MEGIDO AVIATION,ISRAEL
MDO,5M,KUDA,MEL AIR,MEDITERRANEAN AVIATION OPERATIONS COMPANY LTD,MALTA
BNM,-,MELITAIR,MELITAIR,MELITAIR,MALTA
MNJ,-,MENAJET,MENAJET,MENAJET,LEBANON
MRJ,-,MERAJ AIRLINE,MERAJ AIRLINES,MERAJ AIRLINES,IRAN
MXX,-,MERCHANT,MERCHANT EXPRESS AVIATION,MERCHANT EXPRESS AVIATION,NIGERIA
MEC,-,MERCAIR,MERCURY AIRCOURIER SERVICE,"MERCURY AIRCOURIER SERVICE (SALT LAKE CITY, UT)",UNITED STATES OF AMERICA
QHD,-,QUAHADI,MEREGRASS,"MEREGRASS, INC.",UNITED STATES OF AMERICA
MEM,-,MERIDIAN CHERRY,MERIDIAN,MERIDIAN LTD,UKRAINE
MRD,-,MERIDIAN,MERIDIAN AIR CARGO,"MERIDIAN AIR CARGO, INC. (MERIDIAN, MS)",UNITED STATES OF AMERICA
MMM,-,AVIAMERIDIAN,MERIDIAN AIR COMPANY,MERIDIAN AIR COMPANY,RUSSIAN FEDERATION
MHL,-,HASSIMAIR,MERIDIAN AIRLINES,MERIDIAN AIRLINES LTD,NIGERIA
UGB,-,UGAWINGS,MERIDIANA AFRICA AIRLINES,MERIDIANA AFRICA AIRLINES (U) LTD,UGANDA
MEI,-,AVALON,MERLIN AIRWAYS,"MERLIN AIRWAYS, INC. (BILLINGS, MT)",UNITED STATES OF AMERICA
MZY,-,MERMOZ,MERMOZ-ACADEMY,MERMOZ-ACADEMY,FRANCE
MZH,-,MERSAL,MERSAL AIR,MERSAL AIR CARGO,UNITED ARAB EMIRATES
ASH,YV,AIR SHUTTLE,MESA AIRLINES,"MESA AVIATION SERVICES, INC. (FARMINGTON, NM)",UNITED STATES OF AMERICA
MES,-,MESABA,MESABA AVIATION,"MESABA AVIATION (GRAND RAPIDS, MN)",UNITED STATES OF AMERICA
...,-,AMBI AIR,MESSRS AMBJEK AIRLINES,MESSRS AMBJEK AIRLINES LIMITED,NIGERIA
YZY,-,-,MET DATA BANK,MET DATA BANK,ICAO
MET,-,METMAN,MET OFFICE,METEOROLOGICAL RESEARCH FLIGHT,UNITED KINGDOM
MSQ,-,META,META,META - MESQUITA TRANSPORTES AEREOS LTDA,BRAZIL
YMY,-,-,METEOROLOGICAL OFFICE,METEOROLOGICAL OFFICE,ICAO
MER,-,METHOW,METHOW AVIATION,"METHOW AVIATION, INC. (EAST WENATCHEE, WA)",UNITED STATES OF AMERICA
MVI,-,-,METRO BUSINESS AVIATION,METRO BUSINESS AVIATION LTD,UNITED KINGDOM
MTR,-,METRO,METROFLIGHT,"METROFLIGHT INC. (HOUSTON, TX)",UNITED STATES OF AMERICA
MTJ,-,METROJET,METROJET,METROJET LIMITED,CHINA
MTD,-,MATADOR,METROJETS,METROJETS LLC,UNITED STATES OF AMERICA
MHY,-,-,METRON AVIATION,METRON AVIATION,UNITED STATES OF AMERICA
BLR,-,BLUERIDGE,METROPOLITAN AVIATION,METROPOLITAN AVIATION,UNITED STATES OF AMERICA
...,-,METPOL,METROPOLITAN POLICE FLYING CLUB,METROPOLITAN POLICE FLYING CLUB,UNITED KINGDOM
MXA,-,MEXICANA,MEXICANA,AEROLINEA DEL ESTADO MEXICANO S.A. DE C.V.,MEXICO
MXT,-,TRANSMEX,MEXICO TRANSPORTES AEREOS,"MEXICO TRANSPORTES AEREOS, S.A. DE C.V.",MEXICO
MHV,-,SNOWCAP,MHS AVIATION,"MHS AVIATION GMBH, GRUENWALD",GERMANY
HUR,-,HURRICANE CHARTER,MIAMI AIR CHARTER,"MIAMI AIR CHARTER (MIAMI, FL)",UNITED STATES OF AMERICA
BSK,-,BISCAYNE,MIAMI AIR INTERNATIONAL,"MIAMI AIR INTERNATIONAL, INC. (MIAMI, FL)",UNITED STATES OF AMERICA
MGD,-,MIAMI AIR,MIAMI AIR LEASE,"MIAMI AIR LEASE, INC. (MIAMI, FL)",UNITED STATES OF AMERICA
OWL,-,NIGHT OWL,MIAMI VALLEY AVIATION,"MIAMI VALLEY AVIATION, INC. (MIDDLETOWN, OH)",UNITED STATES OF AMERICA
MGL,OM,MONGOL AIR,MIAT MONGOLIAN AIRLINES,MIAT MONGOLIAN AIRLINES,MONGOLIA
BIB,-,-,MICHELIN AIR SERVICES,MICHELIN AIR SERVICES,FRANCE
WIZ,-,WIZARD,MICROMATTER TECHNOLOGY SOLUTIONS,MICROMATTER TECHNOLOGY SOLUTIONS LTD,UNITED KINGDOM
MFG,-,MID AFRICA,MID AFRICA AVIATION,MID AFRICA AVIATION,GAMBIA
NYL,-,NILE,MID AIRLINERS,MID AIRLINERS,SUDAN
MJR,-,MAJOR,MIDAMERICA JET,"MIDAMERICA JET, INC. (OWENSBORO, KY)",UNITED STATES OF AMERICA
MEA,ME,CEDAR JET,MIDDLE EAST AIRLINES,MIDDLE EAST AIRLINES - AIRLIBAN,LEBANON
NIT,-,NIGHTTRAIN,MIDDLE GEORGIA STATE UNIVERSITY,"MIDDLE GEORGIA STATE UNIVERSITY (MACON, GA)",UNITED STATES OF AMERICA
MFR,-,MIDLINE FREIGHT,MIDLINE AIR FREIGHT,"MIDLINE AIR FREIGHT (OWENSBORO, KY)",UNITED STATES OF AMERICA
FGR,-,FRIGATE,MID-PACIFIC AIR SERVICE,MID-PACIFIC AIR SERVICE LLC,UNITED STATES OF AMERICA
MPA,-,MID PAC,MID-PACIFIC AIRLINES,"MID-PACIFIC AIRLINES, INC. (HONOLULU, HI)",UNITED STATES OF AMERICA
XAP,-,MID-TOWN,MIDWAY CONNECTION,"DIRECT AIR, INC. D/B/A/ MIDWAY CONNECTION (GARY, IN)",UNITED STATES OF AMERICA
FAX,-,FAIRFAX,MIDWEST AIR FREIGHTERS,"MIDWEST AIR FREIGHTERS (KANSAS CITY, KS)",UNITED STATES OF AMERICA
MWL,-,MIDWEST AIRLINK,MIDWEST AIR LINK,"GERLACH & ASSOCIATES, LLC D/B/A MIDWEST AIR LINK",UNITED STATES OF AMERICA
MWA,-,-,MIDWEST AIRLINES,MIDWEST AIRLINES,EGYPT
DZR,-,DOZER,MIDWEST AVIATION,"MIDWEST AVIATION (OMAHA, NE)",UNITED STATES OF AMERICA
MWT,-,MIDWEST,MIDWEST AVIATION,"MIDWEST AVIATION DIVISION, INC. (MARSHALL, MN)",UNITED STATES OF AMERICA
HTE,-,HELICOPTERSMEXICO,MIDWEST HELICOPTERS DE MEXICO,"MIDWEST HELICOPTERS DE MEXICO, S.A. DE C.V.",MEXICO
MWW,-,+,MIDWEST WINGS,MIDWEST WINGS,CAMEROON
MIG,-,MIG AVIA,MIG,"RUSSIAN AIRCRAFT CORPORATION -MIG, FEDERAL STATE UNITARY ENTERPRISE",RUSSIAN FEDERATION
MSN,-,MILCARGO,MILENIUM AIR SERVICIOS AEREOS INTEGRADOS,"MILENIUM AIR SERVICIOS AEREOS INTEGRADOS, S.A. DE C.V.",MEXICO
YWY,-,-,MILITARY FLIGHT OPERATIONAL CONTROL CENTRE,MILITARY FLIGHT OPERATIONAL CONTROL CENTRE,ICAO
YXY,-,-,MILITARY SERVICE OR ORGANIZATION,MILITARY SERVICE OR ORGANIZATION,ICAO
MLK,-,NIGERJET,MILLENNIUM AIR,MILLENNIUM AIR,NIGERIA
DLK,-,DEKKANLANKA,MILLENNIUM AIRLINES,MILLENNIUM AIRLINES PRIVATE LIMITED,SRI LANKA
MIM,-,MILLESIME,MILLESIME AVIATION,MILLESIME AVIATION,FRANCE
DOL,-,DOLLAR SIGN,MILLION AIR LONGVIEW,"EBSCO, INC. D/B/A MILLION AIR LONGVIEW (LONGVIEW, TX)",UNITED STATES OF AMERICA
MXS,-,MILLON EXPRESS,MILLON EXPRESS,"SUNRISE AIRLINES INC. D/B/A MILLON EXPRESS (MIAMI, FL)",UNITED STATES OF AMERICA
OMR,-,ORMINE,MINAIR,MINAIR,CENTRAL AFRICAN REPUBLIC
EBE,-,MINEBEA,MINEBEA AVIATION,"MINEBEA AVIATION CO., LTD",THAILAND
WDG,-,WATCHDOG,"MINISTRY OF AGRICULTURE, FISHERIES AND FOOD","MINISTRY OF AGRICULTURE, FISHERIES AND FOOD",UNITED KINGDOM
MSF,-,MINSHENG,MINSHENG INTERNATIONAL,"MINSHENG INTERNATIONAL JET CO., LTD.",CHINA
LIR,-,LISLINE,MINSK AIRCRAFT OVERHAUL PLANT,MINSK AIRCRAFT OVERHAUL PLANT,BELARUS
MIC,-,MINT AIRWAYS,MINT LINEAS AEREAS,"MINT LINEAS AEREAS, S.A.",SPAIN
MVJ,-,MIRA VISTA,MIRA VISTA AVIATION,"MIRA VISTA AVIATION, INC.",UNITED STATES OF AMERICA
MRN,-,MARIANNE,MISSIONS GOUVERNEMENTALES FRANCAISES,MISSIONS GOUVERNEMENTALES FRANCAISES,FRANCE
BDG,-,BULLDOG,MISSISSIPPI STATE UNIVERSITY,"MISSISSIPPI STATE UNIVERSITY, MS",UNITED STATES OF AMERICA
MVA,-,VALAIR,MISSISSIPPI VALLEY AIRWAYS,"MISSISSIPPI VALLEY AIRWAYS, INC. (LACROSSE, WI)",UNITED STATES OF AMERICA
MSA,M4,MISTRAL WINGS,MISTRAL AIR,POSTE AIR CARGO S.R.L.,ITALY
MTA,-,GAK AVIATION,MITCHELL AERO,"MITCHELL AERO, INC. D/B/A GAK/MITCHELL AERO, INC. (MILWAUKEE, WI)",UNITED STATES OF AMERICA
MAJ,-,ME TACK,MITSUBISHI AIRCRAFT CORPORATION,MITSUBISHI AIRCRAFT CORPORATION,JAPAN
MJF,-,EM-EXPRESS,MJET GMBH,MJET GMBH,AUSTRIA
MIN,-,+,MJET LIMITED,MJET LIMITED,THAILAND
MNB,MB,BLACK SEA,MNG AIRLINES,MNG HAVAYOLLARI VE TASIMACILIK A.S.,TURKEY
AMA,-,MOALEM,MOALEM AVIATION,AIRCOMPANY MOALEM AVIATION,KYRGYZSTAN
MXE,-,MOZAMBIQUE EXPRESS,MOCAMBIQUE EXPRESSO,MOCAMBIQUE EXPRESSO,MOZAMBIQUE
MWM,-,MODERNAIR,MODERN TRANSPORTE AEREO DE CARGA,MODERN TRANSPORTE AEREO DE CARGA S.A.,BRAZIL
MOW,-,MOHAWK AIR,MOHAWK AIRLINES,"MOHAWK AIRLINES (ONEONTA, NY)",UNITED STATES OF AMERICA
MKA,-,MOKA AIR,MOKA AIRWAYS,MOKA AIRWAYS,YEMEN
MHO,-,MAHALO,MOKULELE AIRLINES,"MOKULELE AIRLINES (KAILUA'KONA, HI)",UNITED STATES OF AMERICA
MLE,-,MOLDAERO,MOLDAEROSERVICE,MOLDAEROSERVICE,MOLDOVA
RRV,-,SKYROVER,MOMBASA AIR SAFARI,MOMBASA AIR SAFARI LTD,KENYA
MFD,-,FREIGHT DOG,MONARCH AIR GROUP,"MONARCH AIR GROUP, LLC (FT. LAUDERDALE, FL)",UNITED STATES OF AMERICA
MON,-,MONARCH,MONARCH AIRLINES,MONARCH AIRLINES LTD.,UNITED KINGDOM
MNH,-,MONARCH AIR,MONARCH AIRLINES,"MONARCH AIRLINES (GRAND JUNCTION, CO)",UNITED STATES OF AMERICA
MGW,-,GREAT MONGOLIAN,MONGOLIAN AIRWAYS CARGO,MONGOLIAN AIRWAYS CARGO,MONGOLIA
NHN,-,-,MONGOLYN ALT MAK,"MONGOLYN ALT MAK CO., LTD",MONGOLIA
MGX,-,MONTAIR,MONTENEGRO AIRLINES,MONTENEGRO AIRLINES,MONTENEGRO
MTI,-,MONTERREY AIR,MONTERREY AIR TAXI,"MONTERREY AIR TAXI, S.A. DE C.V.",MEXICO
MOO,-,-,MOONAIR,MOONAIR,ISRAEL
MNY,-,MOONEY FLIGHT,MOONEY AIRCRAFT CORPORATION,"MOONEY AIRCRAFT CORPORATION (KERRVILLE, TX)",UNITED STATES OF AMERICA
...,-,MORAY,MORAY FLYING CLUB LIMITED,MORAY FLYING CLUB LIMITED,UNITED KINGDOM
MAL,-,MORNINGSTAR,MORNINGSTAR AIR EXPRESS,MORNINGSTAR AIR INC.,CANADA
MRO,-,MORRISON,MORRISON FLYING SERVICE,"MORRISON FLYING SERVICE, INC. (HELENA, MT)",UNITED STATES OF AMERICA
MOT,-,MOTAHIDA,MOTAHIDA AVIATION,MOTAHIDA AVIATION,LIBYA
MSI,-,MOTOR SICH,MOTOR SICH,MOTOR SICH,UKRAINE
NZM,-,MOUNTCOOK,MOUNT COOK AIRLINE,MOUNT COOK AIRLINE LTD,NEW ZEALAND
MTN,-,MOUNTAIN,MOUNTAIN AIR CARGO,"MOUNTAIN AIR CARGO, INC. (DENVER, NC)",UNITED STATES OF AMERICA
PKP,-,PIKES PEAK,MOUNTAIN AIR EXPRESS,"MOUNTAIN AIR EXPRESS, INC. (COLORADO SPRINGS, CO)",UNITED STATES OF AMERICA
BRR,-,MOUNTAIN AIR,MOUNTAIN AIR SERVICE,"MOUNTAIN AIR SERVICE, INC (BIG BEAR CITY, CA)",UNITED STATES OF AMERICA
FTH,-,FOOTHILLS,MOUNTAIN AVIATION,"MOUNTAIN AVIATION, INC. (BROOMFIELD, CO)",UNITED STATES OF AMERICA
MFB,-,MOUNTAINHELI,MOUNTAIN FLYERS BERN,MOUNTAIN FLYERS 80 LTD,SWITZERLAND
MHA,-,MOUNTAIN HIGH,MOUNTAIN HIGH AVIATION,"MOUNTAIN HIGH AVIATION (WALLA WALLA, WA)",UNITED STATES OF AMERICA
MHH,-,MOUNTHILL,MOUNTHILL AVIATION,MOUNTHILL AVIATION RESOURCE SERVICES LTD.,NIGERIA
MVE,-,MOVE FLIGHTS,MOVE AIRCRAFT FLIGHT SOLUTIONS,MOVE AIRCRAFT FLIGHT SOLUTIONS,MALTA
MRL,-,+,MR LINES,MR LINES,GABON
MTE,-,TELEJET,MT FLY,MT FLY,MOROCCO
MCV,-,MTC AVIACION,MTC AVIACION,"MTC AVIACION, S.A. DE C.V.",MEXICO
MTU,-,BLUE RAIDER,MTSU,MIDDLE TENNESSEE STATE UNIVERSITY (MTSU),UNITED STATES OF AMERICA
MTX,-,MULTITAXI,MULTI TAXI,"MULTI TAXI, S.A. DE C.V.",MEXICO
MFT,-,YORKAIR,MULTIFLIGHT,MULTIFLIGHT LTD,UNITED KINGDOM
MLV,-,MULTI VALLE,MULTISERVICIOS AEREOS DEL VALLE,"MULTISERVICIOS AEREOS DEL VALLE, S.A. DE C.V.",MEXICO
MAW,-,MUSTIQUE,MUSTIQUE AIRWAYS,MUSTIQUE AIRWAYS,SAINT VINCENT AND THE GRENADINES
MYU,-,INDO,MY INDO AIRLINES,MY INDO AIRLINES,INDONESIA
MYJ,-,MY JET,MY JET,MY JET,ROMANIA
NEP,-,WARISAN,MY JET XPRESS AIRLINES,MY JET XPRESS AIRLINES SDN BHD,MALAYSIA
MMA,8M,MYANMAR,MYANMAR AIRWAYS,MYANMAR AIRWAYS INTERNATIONAL CO. LTD,MYANMAR
UBA,-,UNIONAIR,MYANMAR NATIONAL AIRLINES,MYANMAR NATIONAL AIRLINES,MYANMAR
RUN,9T,CARGO TURK,MYCARGO AIRLINES,ACT HAVAYOLLARI A.S.,TURKEY
MYF,-,MY FLIGHT,MYFLIGHT,"MYFLIGHT, S.A. DE C.V.",MEXICO
MYA,-,MYFLUG,MYFLUG,MYFLUG H.F.,ICELAND
MYW,-,MY SKY,MYWAY AIRLINES,MYWAY AIRLINES CO LTD,GEORGIA
...,-,PAPA DOG,N.D. NEEDHAM,N D NEEDHAM,UNITED KINGDOM
ANL,-,AIR NACOIA,NACOIA LDA,NACOIA LDA,ANGOLA
APX,-,APEX,NALJETS,NALJETS LTD,UNITED KINGDOM
NME,-,NAMASTE AIR,NAMASTE AIR,NAMASTE AIR PVT. LTD,NEPAL
DMD,-,DIAMONDJET,NAMDEB DIAMOND CORPORATION NAMIBIA,NAMDEB DIAMOND CORPORATION NAMIBIA,NAMIBIA
MRE,-,MED RESCUE,NAMIBIA COMMERCIAL AVIATION,NAMIBIA COMMERCIAL AVIATION (PTY) LTD,NAMIBIA
NMR,-,E-MED,NAMIBIA RESCUE SERVICES,NAMIBIA RESCUE SERVICES,NAMIBIA
NDF,-,NAMIBIAN AIRFORCE,NAMIBIAN DEFENCE FORCE,NAMIBIAN DEFENCE FORCE,NAMIBIA
NSJ,-,NANSHAN,NANSHAN JET,"NANSHAN JET CO., LTD",CHINA
ACK,-,ACK AIR,NANTUCKET AIRLINES,"NANTUCKET AIRLINES (NANTUCKET, MA)",UNITED STATES OF AMERICA
OSD,-,SECDEF,NAOC,NAOC,UNITED STATES OF AMERICA
...,-,NASA,NASA,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (WASHINGTON, DC)",UNITED STATES OF AMERICA
IGY,-,INGENUITY,NASA MARS,NASA MARS,UNITED STATES OF AMERICA
NAS,-,NASAIRWAYS,NASAIR,NASAIR,ERITREA
NJC,-,NASHVILLE JET,NASHVILLE JET CHARTERS,"NASHVILLE JET CHARTERS, INC. (NASHVILLE, TN)",UNITED STATES OF AMERICA
NJJ,-,-,NASJET PRIVATE AVIATION,NASJET PRIVATE AVIATION CO. LTD,SAUDI ARABIA
NAW,-,-,NASS LLC,NASS LLC,RUSSIAN FEDERATION
NCO,-,NATALCO,NATALCO AIR LINES,NATALCO AIR LINES,SAO TOME AND PRINCIPE
NTK,-,NATCA,NATCA,NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION (NATCA),UNITED STATES OF AMERICA
JYA,-,SUNBIZ,NATIONAL AIR CHARTERS,"NATIONAL AIR CHARTERS, INC.",UNITED STATES OF AMERICA
